Causas (lista reducida);Sexo;Mes de fallecimiento;Total
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Todos los meses;1.186
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Enero;215
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Febrero;176
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Marzo;210
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Abril;202
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Mayo;181
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Junio;202
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Todos los meses;977
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Enero;180
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Febrero;133
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Marzo;180
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Abril;168
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Mayo;154
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Junio;162
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Todos los meses;2.464
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Enero;446
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Febrero;401
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Marzo;418
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Abril;395
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Mayo;410
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Junio;394
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Todos los meses;1.368
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Enero;254
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Febrero;226
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Marzo;225
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Abril;209
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Mayo;221
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Junio;233
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Todos los meses;1.096
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Enero;192
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Febrero;175
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Marzo;193
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Abril;186
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Mayo;189
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Junio;161
037 Leucemia;Ambos sexos;Todos los meses;1.670
037 Leucemia;Ambos sexos;Enero;323
037 Leucemia;Ambos sexos;Febrero;268
037 Leucemia;Ambos sexos;Marzo;284
037 Leucemia;Ambos sexos;Abril;271
037 Leucemia;Ambos sexos;Mayo;272
037 Leucemia;Ambos sexos;Junio;252
037 Leucemia;Hombres;Todos los meses;996
037 Leucemia;Hombres;Enero;188
037 Leucemia;Hombres;Febrero;154
037 Leucemia;Hombres;Marzo;171
037 Leucemia;Hombres;Abril;153
037 Leucemia;Hombres;Mayo;166
037 Leucemia;Hombres;Junio;164
037 Leucemia;Mujeres;Todos los meses;674
037 Leucemia;Mujeres;Enero;135
037 Leucemia;Mujeres;Febrero;114
037 Leucemia;Mujeres;Marzo;113
037 Leucemia;Mujeres;Abril;118
037 Leucemia;Mujeres;Mayo;106
037 Leucemia;Mujeres;Junio;88
038 Tumores in situ;Ambos sexos;Todos los meses;5
038 Tumores in situ;Ambos sexos;Enero;1
038 Tumores in situ;Ambos sexos;Febrero;1
038 Tumores in situ;Ambos sexos;Marzo;0
038 Tumores in situ;Ambos sexos;Abril;1
038 Tumores in situ;Ambos sexos;Mayo;1
038 Tumores in situ;Ambos sexos;Junio;1
038 Tumores in situ;Hombres;Todos los meses;3
038 Tumores in situ;Hombres;Enero;1
038 Tumores in situ;Hombres;Febrero;1
038 Tumores in situ;Hombres;Marzo;0
038 Tumores in situ;Hombres;Abril;0
038 Tumores in situ;Hombres;Mayo;1
038 Tumores in situ;Hombres;Junio;0
038 Tumores in situ;Mujeres;Todos los meses;2
038 Tumores in situ;Mujeres;Enero;0
038 Tumores in situ;Mujeres;Febrero;0
038 Tumores in situ;Mujeres;Marzo;0
038 Tumores in situ;Mujeres;Abril;1
038 Tumores in situ;Mujeres;Mayo;0
038 Tumores in situ;Mujeres;Junio;1
039 Tumores benignos;Ambos sexos;Todos los meses;332
039 Tumores benignos;Ambos sexos;Enero;71
039 Tumores benignos;Ambos sexos;Febrero;47
039 Tumores benignos;Ambos sexos;Marzo;50
039 Tumores benignos;Ambos sexos;Abril;52
039 Tumores benignos;Ambos sexos;Mayo;58
039 Tumores benignos;Ambos sexos;Junio;54
039 Tumores benignos;Hombres;Todos los meses;150
039 Tumores benignos;Hombres;Enero;32
039 Tumores benignos;Hombres;Febrero;21
039 Tumores benignos;Hombres;Marzo;23
039 Tumores benignos;Hombres;Abril;19
039 Tumores benignos;Hombres;Mayo;33
039 Tumores benignos;Hombres;Junio;22
039 Tumores benignos;Mujeres;Todos los meses;182
039 Tumores benignos;Mujeres;Enero;39
039 Tumores benignos;Mujeres;Febrero;26
039 Tumores benignos;Mujeres;Marzo;27
039 Tumores benignos;Mujeres;Abril;33
039 Tumores benignos;Mujeres;Mayo;25
039 Tumores benignos;Mujeres;Junio;32
040 Síndrome mielodisplásico;Ambos sexos;Todos los meses;522
040 Síndrome mielodisplásico;Ambos sexos;Enero;101
040 Síndrome mielodisplásico;Ambos sexos;Febrero;87
040 Síndrome mielodisplásico;Ambos sexos;Marzo;87
040 Síndrome mielodisplásico;Ambos sexos;Abril;90
040 Síndrome mielodisplásico;Ambos sexos;Mayo;83
040 Síndrome mielodisplásico;Ambos sexos;Junio;74
040 Síndrome mielodisplásico;Hombres;Todos los meses;286
040 Síndrome mielodisplásico;Hombres;Enero;53
040 Síndrome mielodisplásico;Hombres;Febrero;48
040 Síndrome mielodisplásico;Hombres;Marzo;39
040 Síndrome mielodisplásico;Hombres;Abril;52
040 Síndrome mielodisplásico;Hombres;Mayo;46
040 Síndrome mielodisplásico;Hombres;Junio;48
040 Síndrome mielodisplásico;Mujeres;Todos los meses;236
040 Síndrome mielodisplásico;Mujeres;Enero;48
040 Síndrome mielodisplásico;Mujeres;Febrero;39
040 Síndrome mielodisplásico;Mujeres;Marzo;48
040 Síndrome mielodisplásico;Mujeres;Abril;38
040 Síndrome mielodisplásico;Mujeres;Mayo;37
040 Síndrome mielodisplásico;Mujeres;Junio;26
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Todos los meses;1.174
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Enero;238
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Febrero;181
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Marzo;191
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Abril;174
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Mayo;211
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Junio;179
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Todos los meses;629
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Enero;117
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Febrero;107
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Marzo;107
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Abril;87
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Mayo;119
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Junio;92
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Todos los meses;545
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Enero;121
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Febrero;74
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Marzo;84
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Abril;87
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Mayo;92
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Junio;87
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Todos los meses;1.068
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Enero;209
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Febrero;190
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Marzo;180
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Abril;170
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Mayo;164
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Junio;155
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Todos los meses;450
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Enero;89
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Febrero;73
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Marzo;76
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Abril;72
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Mayo;76
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Junio;64
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Todos los meses;618
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Enero;120
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Febrero;117
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Marzo;104
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Abril;98
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Mayo;88
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Junio;91
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Todos los meses;981
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Enero;197
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Febrero;178
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Marzo;168
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Abril;149
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Mayo;150
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Ambos sexos;Junio;139
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Todos los meses;407
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Enero;81
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Febrero;69
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Marzo;71
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Abril;63
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Mayo;68
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Hombres;Junio;55
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Todos los meses;574
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Enero;116
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Febrero;109
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Marzo;97
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Abril;86
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Mayo;82
042 Enfermedades de la sangre y de los órganos hematopoyéticos;Mujeres;Junio;84
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Todos los meses;87
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Enero;12
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Febrero;12
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Marzo;12
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Abril;21
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Mayo;14
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Junio;16
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Todos los meses;43
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Enero;8
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Febrero;4
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Marzo;5
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Abril;9
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Mayo;8
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;Junio;9
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Todos los meses;44
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Enero;4
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Febrero;8
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Marzo;7
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Abril;12
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Mayo;6
043 Ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;Junio;7
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Todos los meses;7.706
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Enero;1.698
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Febrero;1.212
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Marzo;1.306
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Abril;1.190
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Mayo;1.180
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Junio;1.120
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Todos los meses;3.510
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Enero;778
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Febrero;560
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Marzo;603
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Abril;523
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Mayo;542
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Hombres;Junio;504
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Todos los meses;4.196
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Enero;920
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Febrero;652
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Marzo;703
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Abril;667
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Mayo;638
044-045 IV.Enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Junio;616
044 Diabetes mellitus;Ambos sexos;Todos los meses;5.382
044 Diabetes mellitus;Ambos sexos;Enero;1.187
044 Diabetes mellitus;Ambos sexos;Febrero;862
044 Diabetes mellitus;Ambos sexos;Marzo;908
044 Diabetes mellitus;Ambos sexos;Abril;836
044 Diabetes mellitus;Ambos sexos;Mayo;826
044 Diabetes mellitus;Ambos sexos;Junio;763
044 Diabetes mellitus;Hombres;Todos los meses;2.526
044 Diabetes mellitus;Hombres;Enero;561
044 Diabetes mellitus;Hombres;Febrero;408
044 Diabetes mellitus;Hombres;Marzo;430
044 Diabetes mellitus;Hombres;Abril;380
044 Diabetes mellitus;Hombres;Mayo;389
044 Diabetes mellitus;Hombres;Junio;358
044 Diabetes mellitus;Mujeres;Todos los meses;2.856
044 Diabetes mellitus;Mujeres;Enero;626
044 Diabetes mellitus;Mujeres;Febrero;454
044 Diabetes mellitus;Mujeres;Marzo;478
044 Diabetes mellitus;Mujeres;Abril;456
044 Diabetes mellitus;Mujeres;Mayo;437
044 Diabetes mellitus;Mujeres;Junio;405
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Todos los meses;2.324
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Enero;511
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Febrero;350
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Marzo;398
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Abril;354
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Mayo;354
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Ambos sexos;Junio;357
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Todos los meses;984
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Enero;217
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Febrero;152
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Marzo;173
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Abril;143
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Mayo;153
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;Junio;146
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Todos los meses;1.340
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Enero;294
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Febrero;198
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Marzo;225
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Abril;211
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Mayo;201
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Junio;211
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Todos los meses;11.773
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Enero;2.527
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Febrero;1.843
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Marzo;2.018
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Abril;1.919
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Mayo;1.798
046-049 V.Trastornos mentales y del comportamiento;Ambos sexos;Junio;1.668
046-049 V.Trastornos mentales y del comportamiento;Hombres;Todos los meses;3.959
046-049 V.Trastornos mentales y del comportamiento;Hombres;Enero;830
046-049 V.Trastornos mentales y del comportamiento;Hombres;Febrero;595
046-049 V.Trastornos mentales y del comportamiento;Hombres;Marzo;692
046-049 V.Trastornos mentales y del comportamiento;Hombres;Abril;662
046-049 V.Trastornos mentales y del comportamiento;Hombres;Mayo;607
046-049 V.Trastornos mentales y del comportamiento;Hombres;Junio;573
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Todos los meses;7.814
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Enero;1.697
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Febrero;1.248
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Marzo;1.326
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Abril;1.257
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Mayo;1.191
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Junio;1.095
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Todos los meses;11.362
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Enero;2.424
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Febrero;1.774
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Marzo;1.946
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Abril;1.865
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Mayo;1.740
046 Trastornos mentales orgánicos, senil y presenil;Ambos sexos;Junio;1.613
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Todos los meses;3.703
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Enero;768
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Febrero;553
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Marzo;651
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Abril;625
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Mayo;566
046 Trastornos mentales orgánicos, senil y presenil;Hombres;Junio;540
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Todos los meses;7.659
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Enero;1.656
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Febrero;1.221
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Marzo;1.295
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Abril;1.240
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Mayo;1.174
046 Trastornos mentales orgánicos, senil y presenil;Mujeres;Junio;1.073
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Todos los meses;137
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Enero;30
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Febrero;30
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Marzo;22
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Abril;20
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Mayo;19
047 Trastornos mentales debidos al uso de alcohol;Ambos sexos;Junio;16
047 Trastornos mentales debidos al uso de alcohol;Hombres;Todos los meses;114
047 Trastornos mentales debidos al uso de alcohol;Hombres;Enero;26
047 Trastornos mentales debidos al uso de alcohol;Hombres;Febrero;25
047 Trastornos mentales debidos al uso de alcohol;Hombres;Marzo;17
047 Trastornos mentales debidos al uso de alcohol;Hombres;Abril;18
047 Trastornos mentales debidos al uso de alcohol;Hombres;Mayo;16
047 Trastornos mentales debidos al uso de alcohol;Hombres;Junio;12
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Todos los meses;23
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Enero;4
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Febrero;5
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Marzo;5
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Abril;2
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Mayo;3
047 Trastornos mentales debidos al uso de alcohol;Mujeres;Junio;4
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Todos los meses;14
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Enero;4
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Febrero;4
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Marzo;3
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Abril;3
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Mayo;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Ambos sexos;Junio;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Todos los meses;11
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Enero;4
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Febrero;3
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Marzo;1
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Abril;3
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Mayo;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Hombres;Junio;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Todos los meses;3
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Enero;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Febrero;1
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Marzo;2
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Abril;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Mayo;0
048 Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía);Mujeres;Junio;0
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Todos los meses;260
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Enero;69
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Febrero;35
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Marzo;47
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Abril;31
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Mayo;39
049 Otros trastornos mentales y del comportamiento;Ambos sexos;Junio;39
049 Otros trastornos mentales y del comportamiento;Hombres;Todos los meses;131
049 Otros trastornos mentales y del comportamiento;Hombres;Enero;32
049 Otros trastornos mentales y del comportamiento;Hombres;Febrero;14
